SubRegion,run,ID,p1,p2,doc,dob,dod,female,founder,X,Y,l0a0,l0a1,l1a0,l1a1,l2a0,l2a1,l3a0,l3a1,l4a0,l4a1,l5a0,l5a1,l6a0,l6a1,l7a0,l7a1,l8a0,l8a1,l9a0,l9a1,l10a0,l10a1,l11a0,l11a1,l12a0,l12a1,l13a0,l13a1,
0,0,258,12,172,4,0,-1,true,false,45,33,13,13,15,9,2,2,16,16,7,5,13,6,1,1,18,1,1,19,13,17,1,2,3,2,3,0,1,1,
0,0,259,12,172,4,0,-1,true,false,45,54,7,14,9,15,2,7,16,16,7,7,5,13,15,15,1,1,19,19,13,2,1,2,3,2,0,0,1,1,
0,0,261,12,172,4,0,-1,false,false,45,37,13,14,15,9,2,2,16,16,11,7,13,6,1,15,1,1,19,19,2,2,1,2,3,2,0,3,1,1,
0,0,262,12,172,4,0,-1,false,false,45,32,13,13,9,15,18,2,19,16,11,5,13,13,15,15,18,1,1,19,13,2,1,2,2,2,0,0,1,1,
0,0,263,12,172,4,0,-1,true,false,45,37,7,13,15,15,18,7,19,16,11,5,13,13,15,15,1,1,1,19,2,2,1,2,3,2,3,3,2,1,
1,0,264,12,172,4,0,-1,true,false,51,38,7,14,15,15,18,2,19,16,11,7,5,6,1,15,18,1,19,19,2,2,1,2,2,2,3,3,1,1,
0,0,265,12,172,4,0,-1,false,false,49,38,13,14,9,9,2,2,19,16,11,5,13,6,15,1,18,1,1,19,13,2,1,2,3,1,0,0,2,1,
0,0,267,12,172,4,0,-1,true,false,45,35,13,13,9,15,18,2,16,16,7,5,5,13,1,15,1,1,19,19,2,2,1,2,2,1,0,0,2,1,
0,0,268,12,172,4,0,-1,true,false,44,47,13,14,9,15,2,2,19,16,7,7,13,6,15,15,18,1,19,19,2,17,1,2,3,2,3,3,1,1,
0,0,269,12,172,4,0,-1,false,false,45,33,13,13,9,15,18,7,16,16,11,7,13,13,1,15,18,1,1,19,13,2,1,2,2,1,3,3,1,1,
0,0,270,12,172,4,0,-1,true,false,45,27,13,13,15,9,2,2,16,16,7,5,13,6,15,15,18,1,19,19,2,17,1,2,3,2,3,3,2,1,
0,0,271,12,172,4,0,-1,true,false,44,33,13,14,9,15,2,7,19,16,11,7,5,6,15,1,18,1,1,19,2,2,1,2,3,1,3,0,1,1,
